beta,objective_value,invested_node,pv_capacity,wind_capacity,conventional_capacity
0.1,-11525683601173.688,14.0,193.03156066016794,0,0
0.2,-10245034312154.379,14.0,193.03156066016794,0,0
0.3,-8964385023135.084,14.0,193.03156066016794,0,0
0.4,-7683735734115.789,14.0,193.03156066016794,0,0
0.5,-6403086445096.49,14.0,193.03156066016794,0,0
0.6,-5122437156077.189,14.0,193.03156066016794,0,0
0.7,-3841787867057.895,14.0,193.03156066016794,0,0
0.8,-2561138578038.5947,14.0,193.03156066016794,0,0
0.9,-1280489289019.2974,14.0,193.03156066016794,0,0
1.0,0.0,,0.0,0,0
